Designator,Mid X,Mid Y,Rotation,Layer
C1,-34.029411,39.586589,225.0,top
C10,47.33,-20.844,67.5,top
C11,-1.17,-52.054,0.0,top
C12,18.623757,-47.862298,22.5,top
C13,51.346001,-1.110001,90.0,top
C14,47.862298,18.623757,112.5,top
C15,37.091994,35.522216,135.0,top
C16,20.67477,47.01274,157.5,top
C2,-47.01274,20.674771,247.5,top
C3,1.15,51.846,180.0,top
C4,-18.623757,47.862297,202.5,top
C5,-51.346001,1.110001,270.0,top
C6,-47.862298,-18.623757,292.5,top
C7,-39.97,-33.294,315.0,top
C8,-20.674771,-47.01274,337.5,top
C9,34.590589,-39.393411,45.0,top
CAMERA_RST,22.04,-3.864,90.0,top
J1,-16.76,-24.754,270.0,top
J2,-13.8066,25.8228,90.0,top
J3,-20.7408,25.8482,90.0,top
J4,22.0888,28.5994,0.0,top
R1,-33.29,41.736,135.0,top
R10,47.56,-23.074,337.5,top
R11,-3.18,-52.9465,270.0,top
R12,17.074878,-49.532138,292.5,top
R13,52.296002,-3.179998,0.0,top
R14,49.532138,17.074878,22.5,top
R15,39.227456,34.730257,45.0,top
R16,22.95075,47.098271,67.5,top
R2,-47.098271,22.950749,157.5,top
R3,3.18,52.776,90.0,top
R4,-17.074876,49.532137,112.5,top
R5,-52.296,3.179999,180.0,top
R6,-49.532137,-17.074877,202.5,top
R7,-42.15,-32.484,225.0,top
R8,-22.950748,-47.098272,247.5,top
R9,33.865235,-41.469235,315.0,top
SW1,-3.64,-41.814,90.0,top
SW2,4.59,-41.774,90.0,top
SW3,12.78,-41.744,90.0,top
SW5,22.905,-19.034,270.0,top
U1,-21.903926,52.933017,157.5,bottom
U10,40.493177,-40.52146,315.0,bottom
U11,52.917709,-21.94088,292.5,bottom
U12,57.286001,-0.02,270.0,bottom
U13,52.933016,21.903926,247.5,bottom
U14,40.521461,40.493178,225.0,bottom
U15,21.94088,52.91771,202.5,bottom
U16,0.9016,42.076,270.0,top
U17,0.02,57.286,180.0,bottom
U2,-40.493178,40.521461,135.0,bottom
U3,-52.91771,21.940881,112.5,bottom
U4,-57.286,0.02,90.0,bottom
U5,-52.933017,-21.903925,67.5,bottom
U6,-40.521461,-40.493177,45.0,bottom
U7,-21.940881,-52.917709,22.5,bottom
U8,-0.02,-57.286,0.0,bottom
U9,21.903925,-52.933016,337.5,bottom
